197 3
104.61 105.52 106.34 
105.52 106.34 105.93 
106.34 105.93 105.25 
105.93 105.25 106.48 
105.25 106.48 105.47 
106.48 105.47 106.0 
105.47 106.0 104.89 
106.0 104.89 108.65 
104.89 108.65 109.72 
108.65 109.72 108.78 
109.72 108.78 110.42 
108.78 110.42 109.51 
110.42 109.51 110.23 
109.51 110.23 109.95 
110.23 109.95 108.91 
109.95 108.91 108.97 
108.91 108.97 109.34 
108.97 109.34 110.8 
109.34 110.8 111.62 
110.8 111.62 112.11 
111.62 112.11 108.89 
112.11 108.89 107.88 
108.89 107.88 106.64 
107.88 106.64 106.93 
106.64 106.93 105.01 
106.93 105.01 105.0 
105.01 105.0 103.91 
105.0 103.91 96.0 
103.91 96.0 97.61 
96.0 97.61 93.99 
97.61 93.99 93.96 
93.99 93.96 94.2 
93.96 94.2 95.2 
94.2 95.2 94.0 
95.2 94.0 93.37 
94.0 93.37 93.0 
93.37 93.0 93.33 
93.0 93.33 93.48 
93.33 93.48 92.72 
93.48 92.72 90.0 
92.72 90.0 92.39 
90.0 92.39 94.55 
92.39 94.55 94.16 
94.55 94.16 94.64 
94.16 94.64 94.64 
94.64 94.64 95.87 
94.64 95.87 97.22 
95.87 97.22 98.67 
97.22 98.67 99.68 
98.67 99.68 99.44 
99.68 99.44 99.6 
99.44 99.6 99.02 
99.6 99.02 97.6 
99.02 97.6 97.79 
97.6 97.79 97.99 
97.79 97.99 99.25 
97.99 99.25 99.02 
99.25 99.02 98.5 
99.02 98.5 98.53 
98.5 98.53 98.69 
98.53 98.69 97.32 
98.69 97.32 97.82 
97.32 97.82 96.45 
97.82 96.45 96.62 
96.45 96.62 96.0 
96.62 96.0 94.94 
96.0 94.94 96.25 
94.94 96.25 95.94 
96.25 95.94 92.91 
95.94 92.91 93.0 
92.91 93.0 92.9 
93.0 92.9 93.97 
92.9 93.97 94.44 
93.97 94.44 95.49 
94.44 95.49 95.39 
95.49 95.39 94.6 
95.39 94.6 95.7 
94.6 95.7 96.49 
95.7 96.49 96.75 
96.49 96.75 97.17 
96.75 97.17 97.41 
97.17 97.41 97.39 
97.41 97.39 98.92 
97.39 98.92 98.7 
98.92 98.7 99.56 
98.7 99.56 100.0 
99.56 100.0 99.83 
100.0 99.83 99.26 
99.83 99.26 98.25 
99.26 98.25 96.82 
98.25 96.82 104.26 
96.82 104.26 102.83 
104.26 102.83 104.19 
102.83 104.19 104.41 
104.19 104.41 106.05 
104.41 106.05 104.81 
106.05 104.81 105.58 
104.81 105.58 106.27 
105.58 106.27 107.52 
106.27 107.52 108.23 
107.52 108.23 108.71 
108.23 108.71 108.52 
108.71 108.52 107.78 
108.52 107.78 108.14 
107.78 108.14 109.63 
108.14 109.63 109.1 
109.63 109.1 109.23 
109.1 109.23 108.77 
109.23 108.77 108.86 
108.77 108.86 108.59 
108.86 108.59 108.56 
108.59 108.56 107.39 
108.56 107.39 107.41 
107.39 107.41 106.62 
107.41 106.62 105.8 
106.62 105.8 105.66 
105.8 105.66 106.14 
105.66 106.14 107.7 
106.14 107.7 107.9 
107.7 107.9 107.83 
107.9 107.83 107.25 
107.83 107.25 104.64 
107.25 104.64 102.65 
104.64 102.65 107.51 
102.65 107.51 108.73 
107.51 108.73 113.86 
108.73 113.86 115.12 
113.86 115.12 115.19 
115.12 115.19 113.05 
115.19 113.05 113.85 
113.05 113.85 114.35 
113.85 114.35 114.42 
114.35 114.42 111.64 
114.42 111.64 113.0 
111.64 113.0 113.69 
113.0 113.69 113.16 
113.69 113.16 112.46 
113.16 112.46 112.71 
112.46 112.71 113.06 
112.71 113.06 113.4 
113.06 113.4 113.7 
113.4 113.7 114.31 
113.7 114.31 115.02 
114.31 115.02 117.7 
115.02 117.7 117.35 
117.7 117.35 116.79 
117.35 116.79 117.88 
116.79 117.88 117.33 
117.88 117.33 118.18 
117.33 118.18 117.25 
118.18 117.25 116.86 
117.25 116.86 116.81 
116.86 116.81 117.1 
116.81 117.1 117.95 
117.1 117.95 114.31 
117.95 114.31 115.39 
114.31 115.39 113.87 
115.39 113.87 113.65 
113.87 113.65 113.46 
113.65 113.46 111.4 
113.46 111.4 110.98 
111.4 110.98 108.53 
110.98 108.53 110.08 
108.53 110.08 110.31 
110.08 110.31 109.88 
110.31 109.88 111.09 
109.88 111.09 107.12 
111.09 107.12 107.71 
107.12 107.71 106.57 
107.71 106.57 106.7 
106.57 106.7 109.81 
106.7 109.81 109.72 
109.81 109.72 110.12 
109.72 110.12 111.95 
110.12 111.95 111.36 
111.95 111.36 111.47 
111.36 111.47 111.43 
111.47 111.43 110.78 
111.43 110.78 111.6 
110.78 111.6 110.36 
111.6 110.36 109.17 
110.36 109.17 110.0 
109.17 110.0 109.5 
110.0 109.5 109.26 
109.5 109.26 110.86 
109.26 110.86 112.31 
110.86 112.31 113.29 
112.31 113.29 113.84 
113.29 113.84 115.04 
113.84 115.04 115.38 
115.04 115.38 116.47 
115.38 116.47 115.8 
116.47 115.8 116.74 
115.8 116.74 116.8 
116.74 116.8 116.35 
116.8 116.35 115.59 
116.35 115.59 116.52 
