197 3
33.03 33.88 34.54 
33.88 34.54 35.0 
34.54 35.0 34.68 
35.0 34.68 35.43 
34.68 35.43 34.45 
35.43 34.45 35.39 
34.45 35.39 35.05 
35.39 35.05 36.61 
35.05 36.61 36.51 
36.61 36.51 36.54 
36.51 36.54 36.55 
36.54 36.55 36.7 
36.55 36.7 36.4 
36.7 36.4 35.86 
36.4 35.86 36.85 
35.86 36.85 36.38 
36.85 36.38 36.65 
36.38 36.65 36.94 
36.65 36.94 37.47 
36.94 37.47 37.13 
37.47 37.13 36.24 
37.13 36.24 36.46 
36.24 36.46 37.1 
36.46 37.1 37.92 
37.1 37.92 37.5 
37.92 37.5 37.47 
37.5 37.47 37.32 
37.47 37.32 37.52 
37.32 37.52 36.84 
37.52 36.84 36.51 
36.84 36.51 36.65 
36.51 36.65 36.25 
36.65 36.25 35.81 
36.25 35.81 37.06 
35.81 37.06 36.55 
37.06 36.55 36.97 
36.55 36.97 37.17 
36.97 37.17 37.28 
37.17 37.28 37.39 
37.28 37.39 36.91 
37.39 36.91 37.03 
36.91 37.03 37.44 
37.03 37.44 37.09 
37.44 37.09 36.94 
37.09 36.94 36.05 
36.94 36.05 36.46 
36.05 36.46 36.85 
36.46 36.85 36.63 
36.85 36.63 36.13 
36.63 36.13 36.88 
36.13 36.88 37.73 
36.88 37.73 37.25 
37.73 37.25 36.66 
37.25 36.66 37.11 
36.66 37.11 36.67 
37.11 36.67 36.9 
36.67 36.9 36.84 
36.9 36.84 36.82 
36.84 36.82 36.97 
36.82 36.97 36.7 
36.97 36.7 36.63 
36.7 36.63 37.43 
36.63 37.43 37.39 
37.43 37.39 37.43 
37.39 37.43 37.27 
37.43 37.27 37.37 
37.27 37.37 37.37 
37.37 37.37 37.64 
37.37 37.64 36.4 
37.64 36.4 35.87 
36.4 35.87 35.58 
35.87 35.58 36.25 
35.58 36.25 36.89 
36.25 36.89 37.56 
36.89 37.56 37.68 
37.56 37.68 37.43 
37.68 37.43 37.57 
37.43 37.57 37.53 
37.57 37.53 37.44 
37.53 37.44 38.0 
37.44 38.0 37.99 
38.0 37.99 37.85 
37.99 37.85 38.16 
37.85 38.16 37.68 
38.16 37.68 37.77 
37.68 37.77 38.36 
37.77 38.36 39.01 
38.36 39.01 38.9 
39.01 38.9 39.2 
38.9 39.2 38.07 
39.2 38.07 38.66 
38.07 38.66 38.58 
38.66 38.58 38.47 
38.58 38.47 38.18 
38.47 38.18 38.6 
38.18 38.6 38.43 
38.6 38.43 38.47 
38.43 38.47 39.0 
38.47 39.0 39.0 
39.0 39.0 39.24 
39.0 39.24 39.34 
39.24 39.34 41.12 
39.34 41.12 41.28 
41.12 41.28 43.18 
41.28 43.18 42.3 
43.18 42.3 42.39 
42.3 42.39 42.69 
42.39 42.69 42.8 
42.69 42.8 42.84 
42.8 42.84 42.61 
42.84 42.61 42.5 
42.61 42.5 41.83 
42.5 41.83 42.15 
41.83 42.15 42.2 
42.15 42.2 42.28 
42.2 42.28 42.46 
42.28 42.46 42.78 
42.46 42.78 43.27 
42.78 43.27 43.5 
43.27 43.5 44.55 
43.5 44.55 44.07 
44.55 44.07 43.92 
44.07 43.92 42.28 
43.92 42.28 43.19 
42.28 43.19 42.91 
43.19 42.91 43.41 
42.91 43.41 43.94 
43.41 43.94 43.92 
43.94 43.92 43.24 
43.92 43.24 42.89 
43.24 42.89 43.94 
42.89 43.94 43.5 
43.94 43.5 42.38 
43.5 42.38 42.43 
42.38 42.43 43.4 
42.43 43.4 43.17 
43.4 43.17 42.74 
43.17 42.74 42.95 
42.74 42.95 43.2 
42.95 43.2 43.23 
43.2 43.23 43.64 
43.23 43.64 43.26 
43.64 43.26 43.36 
43.26 43.36 43.87 
43.36 43.87 42.6 
43.87 42.6 42.0 
42.6 42.0 42.04 
42.0 42.04 41.35 
42.04 41.35 42.04 
41.35 42.04 42.3 
42.04 42.3 42.69 
42.3 42.69 42.1 
42.69 42.1 42.5 
42.1 42.5 42.72 
42.5 42.72 42.26 
42.72 42.26 42.31 
42.26 42.31 42.03 
42.31 42.03 42.03 
42.03 42.03 41.13 
42.03 41.13 41.8 
41.13 41.8 40.62 
41.8 40.62 39.96 
40.62 39.96 41.17 
39.96 41.17 40.97 
41.17 40.97 40.44 
40.97 40.44 41.55 
40.44 41.55 39.84 
41.55 39.84 40.36 
39.84 40.36 39.61 
40.36 39.61 40.1 
39.61 40.1 41.34 
40.1 41.34 41.48 
41.34 41.48 41.44 
41.48 41.44 41.2 
41.44 41.2 40.91 
41.2 40.91 41.08 
40.91 41.08 40.85 
41.08 40.85 41.43 
40.85 41.43 41.62 
41.43 41.62 41.0 
41.62 41.0 39.77 
41.0 39.77 40.02 
39.77 40.02 40.31 
40.02 40.31 39.98 
40.31 39.98 40.66 
39.98 40.66 41.52 
40.66 41.52 41.45 
41.52 41.45 41.35 
41.45 41.35 41.44 
41.35 41.44 40.0 
41.44 40.0 38.62 
40.0 38.62 38.66 
38.62 38.66 38.4 
38.66 38.4 39.08 
38.4 39.08 38.69 
39.08 38.69 38.46 
38.69 38.46 38.59 
